Ride_ID,Pickup_Location,Drop_Location,Distance_KM,Duration_Minutes,Fare_Amount,Driver_ID,Customer_Rating,Cancellation_Status,Time_of_Day,Day_of_Week,Vehicle_Type
RIDE100038,Thane,Sion,22.19,70,291.04,D1921,2.2,No,Night,Wed,SUV
RIDE100039,Kalyan,Worli,5.33,15,178.6,D1693,4.0,No,Evening,Thu,Auto
RIDE100040,Kalyan,Vikhroli,8.15,26,205.11,D1329,2.9,No,Afternoon,Fri,SUV
RIDE100041,Bandra,Kurla,10.65,33,271.38,D1095,4.3,No,Evening,Tue,Mini
RIDE100042,Bandra,Powai,2.57,8,64.97,D1786,1.3,No,Afternoon,Sat,SUV
RIDE100043,Borivali,Wadala,9.3,29,94.29,D1768,4.4,No,Night,Tue,Mini
RIDE100044,Vashi,Matunga,2.71,7,84.57,D1467,1.5,No,Evening,Sun,SUV
RIDE100045,Panvel,Worli,15.51,52,328.0,D1162,4.0,No,Evening,Sun,Mini
RIDE100046,Kalyan,Worli,17.48,47,367.02,D1730,2.1,No,Evening,Fri,Auto
RIDE100047,Bandra,Chembur,8.86,28,245.07,D1065,2.7,No,Night,Thu,Auto
RIDE100048,Colaba,Wadala,14.24,46,479.2,D1020,4.4,No,Night,Thu,Auto
RIDE100049,Dadar,Vikhroli,26.62,89,900.71,D1429,3.2,No,Afternoon,Thu,Mini
RIDE100050,Kalyan,Wadala,17.51,50,467.9,D1817,2.6,No,Night,Tue,Auto
RIDE100051,Mulund,Juhu,20.19,51,526.33,D1138,4.5,No,Evening,Thu,Sedan
RIDE100052,Colaba,Matunga,12.11,39,235.88,D1770,4.8,No,Morning,Thu,Auto
RIDE100053,Vashi,Powai,35.0,99,918.88,D1799,4.8,Yes,Morning,Tue,Mini
RIDE100054,Andheri,Juhu,6.18,16,165.23,D1577,4.8,No,Evening,Sun,Sedan
RIDE100055,Bandra,Juhu,21.65,70,278.49,D1838,1.7,No,Morning,Wed,SUV
RIDE100056,Mulund,Ghatkopar,3.58,11,91.94,D1104,3.8,No,Morning,Sun,Auto
RIDE100057,Dadar,Worli,15.56,44,352.42,D1349,1.1,No,Night,Mon,SUV
RIDE100058,Dadar,Matunga,25.05,73,710.04,D1988,3.6,No,Night,Thu,SUV
RIDE100059,Panvel,Vikhroli,11.96,32,399.05,D1285,4.5,No,Night,Fri,SUV
RIDE100060,Dadar,Powai,17.81,50,395.18,D1363,4.2,No,Evening,Fri,Auto
RIDE100061,Vashi,Ghatkopar,3.91,12,86.86,D1776,2.0,No,Night,Thu,Auto
RIDE100062,Thane,Vikhroli,8.53,27,150.6,D1595,2.5,No,Evening,Thu,Sedan
RIDE100063,Dadar,Matunga,10.21,28,132.9,D1197,2.3,No,Afternoon,Tue,Mini
RIDE100064,Borivali,Vikhroli,25.64,89,592.69,D1289,4.9,No,Evening,Tue,Sedan
RIDE100065,Bandra,Vikhroli,1.48,4,24.95,D1997,1.2,No,Afternoon,Sat,SUV
RIDE100066,Thane,Powai,20.52,60,431.16,D1188,4.9,No,Night,Mon,Auto
RIDE100067,Mulund,Matunga,3.52,11,39.92,D1152,4.2,No,Morning,Tue,Auto
RIDE100068,Vashi,Wadala,21.61,71,338.03,D1535,2.5,No,Evening,Sun,SUV
RIDE100069,Kalyan,Juhu,22.11,68,630.18,D1970,4.1,No,Evening,Sat,Auto
RIDE100070,Bandra,Ghatkopar,6.91,17,69.56,D1461,3.8,No,Morning,Tue,Sedan
RIDE100071,Kalyan,Matunga,3.42,9,56.82,D1810,3.5,No,Afternoon,Thu,Auto
RIDE100072,Vashi,Ghatkopar,23.02,78,705.93,D1073,1.2,No,Evening,Thu,Auto
RIDE100073,Borivali,Vikhroli,24.79,85,558.07,D1505,2.8,No,Night,Sat,Sedan
RIDE100074,Panvel,Vikhroli,1.88,5,50.49,D1881,3.3,No,Evening,Fri,Auto
RIDE100075,Bandra,Matunga,18.64,54,316.02,D1599,2.7,No,Morning,Thu,Sedan
RIDE100076,Mulund,Sion,11.92,31,167.13,D1421,3.8,No,Night,Sun,Auto
RIDE100077,Borivali,Kurla,11.69,33,400.44,D1413,4.5,No,Morning,Sat,SUV
RIDE100078,Mulund,Powai,7.38,21,213.36,D1640,2.8,Yes,Evening,Fri,Mini
RIDE100079,Kalyan,Matunga,30.95,92,331.84,D1645,3.4,No,Afternoon,Wed,Auto
RIDE100080,Vashi,Wadala,4.17,14,136.87,D1472,4.8,No,Afternoon,Thu,Sedan
RIDE100081,Vashi,Vikhroli,15.13,45,329.92,D1467,3.2,No,Afternoon,Sun,Auto
RIDE100082,Kalyan,Wadala,12.56,41,209.49,D1002,2.1,No,Night,Sun,Mini
RIDE100083,Borivali,Worli,17.47,49,507.88,D1386,2.8,No,Afternoon,Sat,Mini
RIDE100084,Panvel,Wadala,8.94,29,99.16,D1762,2.9,No,Night,Thu,Mini
RIDE100085,Borivali,Powai,5.29,18,96.81,D1102,4.5,No,Night,Mon,Mini
RIDE100086,Mulund,Chembur,3.54,11,58.85,D1638,3.8,No,Evening,Sun,SUV
RIDE100087,Dadar,Matunga,30.66,77,359.04,D1646,3.7,No,Afternoon,Sat,Auto
RIDE100088,Mulund,Kurla,26.85,86,335.97,D1170,3.8,No,Morning,Wed,Auto
RIDE100089,Kalyan,Sion,13.74,36,319.86,D1579,3.7,No,Afternoon,Mon,SUV
RIDE100090,Panvel,Ghatkopar,17.92,55,283.22,D1653,2.0,No,Morning,Sun,SUV
RIDE100091,Kalyan,Worli,6.37,18,118.73,D1601,2.2,No,Evening,Thu,Sedan
RIDE100092,Colaba,Wadala,30.01,78,586.22,D1367,3.3,No,Evening,Mon,SUV
RIDE100093,Kalyan,Powai,20.24,64,579.2,D1050,4.6,No,Evening,Sun,Mini
RIDE100094,Panvel,Sion,8.45,22,137.44,D1773,3.9,No,Afternoon,Sat,Auto
RIDE100095,Andheri,Vikhroli,27.81,70,531.77,D1134,1.4,No,Night,Tue,Mini
RIDE100096,Bandra,Worli,30.8,88,694.38,D1279,4.3,No,Night,Sun,Sedan
RIDE100097,Dadar,Kurla,16.92,43,488.21,D1231,4.4,No,Night,Sun,Sedan
RIDE100098,Thane,Wadala,1.47,4,31.41,D1688,4.0,No,Night,Sun,Sedan
RIDE100099,Thane,Ghatkopar,17.03,53,571.85,D1335,4.7,No,Morning,Sat,SUV
RIDE100100,Kalyan,Wadala,4.97,12,54.32,D1504,1.5,No,Afternoon,Thu,SUV
RIDE100101,Dadar,Worli,15.25,49,211.41,D1424,3.6,No,Night,Wed,Auto
RIDE100102,Dadar,Ghatkopar,16.08,55,504.69,D1101,4.9,No,Evening,Mon,SUV
RIDE100103,Kalyan,Ghatkopar,33.92,116,1038.11,D1093,3.7,No,Morning,Mon,Sedan
RIDE100104,Colaba,Chembur,27.76,75,853.49,D1567,1.8,No,Afternoon,Wed,Mini
RIDE100105,Panvel,Powai,10.43,36,361.8,D1553,2.0,No,Morning,Tue,Auto
RIDE100106,Dadar,Ghatkopar,21.02,52,349.65,D1129,4.0,No,Morning,Thu,SUV
RIDE100107,Dadar,Worli,21.18,62,329.11,D1629,1.2,No,Evening,Thu,Auto
RIDE100108,Andheri,Matunga,29.81,87,378.56,D1729,4.6,Yes,Morning,Wed,Mini
RIDE100109,Thane,Chembur,10.35,32,245.39,D1332,2.5,No,Evening,Thu,SUV
RIDE100110,Thane,Kurla,29.99,94,876.43,D1738,4.5,No,Afternoon,Thu,Sedan
RIDE100111,Borivali,Wadala,15.14,39,312.93,D1681,2.0,No,Night,Mon,Auto
RIDE100112,Thane,Kurla,15.68,50,302.88,D1133,3.2,No,Evening,Sat,Auto
RIDE100113,Mulund,Sion,30.7,105,631.6,D1937,3.9,No,Evening,Wed,Auto
RIDE100114,Panvel,Worli,8.23,25,128.44,D1110,2.4,No,Morning,Sun,Sedan
RIDE100115,Panvel,Ghatkopar,28.45,95,977.65,D1838,3.5,No,Morning,Fri,Sedan
RIDE100116,Andheri,Chembur,10.29,33,339.97,D1359,1.0,No,Night,Mon,Mini
RIDE100117,Andheri,Kurla,26.37,71,540.47,D1349,1.6,No,Evening,Sun,Auto
RIDE100118,Andheri,Chembur,6.35,19,170.49,D1278,2.8,No,Night,Thu,Sedan
RIDE100119,Colaba,Worli,4.87,14,83.19,D1694,3.4,No,Evening,Mon,Mini
RIDE100120,Mulund,Juhu,2.86,7,96.19,D1785,1.5,No,Evening,Mon,Auto
RIDE100121,Borivali,Wadala,6.97,20,192.31,D1512,3.2,No,Evening,Mon,SUV
RIDE100122,Andheri,Wadala,1.64,5,51.75,D1589,2.7,No,Night,Wed,Auto
RIDE100123,Mulund,Powai,33.85,90,1140.42,D1471,4.3,No,Morning,Thu,Auto
RIDE100124,Colaba,Wadala,21.02,63,418.18,D1317,4.0,No,Afternoon,Mon,Auto
RIDE100125,Vashi,Worli,7.59,24,142.52,D1981,4.3,No,Afternoon,Mon,Mini
RIDE100126,Kalyan,Ghatkopar,6.9,18,199.95,D1077,1.7,No,Night,Thu,SUV
RIDE100127,Panvel,Juhu,11.99,41,214.66,D1450,1.3,No,Evening,Sun,Sedan
RIDE100128,Panvel,Powai,12.97,33,279.42,D1038,1.2,No,Morning,Sat,Auto
RIDE100129,Panvel,Juhu,18.24,54,435.17,D1810,4.0,Yes,Afternoon,Wed,SUV
RIDE100130,Vashi,Chembur,33.56,99,1016.0,D1857,2.4,No,Afternoon,Mon,Mini
RIDE100131,Borivali,Matunga,18.82,58,359.41,D1939,2.1,No,Evening,Sat,Auto
RIDE100132,Dadar,Kurla,12.21,37,240.1,D1258,3.9,No,Afternoon,Wed,Auto
RIDE100133,Panvel,Chembur,32.17,90,849.33,D1678,2.6,No,Morning,Wed,SUV
RIDE100134,Dadar,Chembur,23.78,79,677.0,D1701,4.6,Yes,Night,Fri,Sedan
RIDE100135,Andheri,Sion,11.5,39,213.25,D1784,2.9,No,Afternoon,Tue,Auto
RIDE100136,Kalyan,Kurla,18.26,55,519.79,D1539,1.2,No,Afternoon,Fri,SUV
RIDE100137,Bandra,Chembur,7.15,22,183.17,D1924,1.7,No,Night,Wed,Mini
RIDE100138,Borivali,Juhu,10.69,34,226.88,D1546,2.0,No,Night,Sun,Mini
RIDE100139,Dadar,Juhu,34.47,102,587.52,D1391,3.0,No,Afternoon,Sun,Mini
RIDE100140,Panvel,Chembur,30.68,78,675.41,D1380,3.2,No,Morning,Wed,Auto
RIDE100141,Bandra,Vikhroli,16.28,49,501.04,D1093,4.8,No,Night,Wed,Auto
RIDE100142,Mulund,Powai,14.48,41,284.59,D1083,2.5,Yes,Morning,Sun,Sedan
RIDE100143,Bandra,Chembur,2.3,7,50.17,D1851,1.6,No,Night,Fri,Auto
RIDE100144,Thane,Powai,9.7,32,230.09,D1744,3.4,No,Evening,Tue,Sedan
RIDE100145,Thane,Powai,9.11,28,232.95,D1064,1.4,No,Morning,Sat,Mini
RIDE100146,Bandra,Vikhroli,15.59,48,249.66,D1426,1.7,No,Evening,Mon,Auto
RIDE100147,Mulund,Matunga,2.48,7,47.94,D1765,1.1,No,Evening,Tue,Auto
RIDE100148,Panvel,Sion,5.54,15,102.29,D1658,1.7,No,Night,Sat,SUV
RIDE100149,Bandra,Chembur,3.15,10,67.54,D1300,1.8,No,Morning,Wed,Sedan
RIDE100150,Vashi,Wadala,34.63,105,565.61,D1771,3.6,No,Morning,Sun,Sedan
RIDE100151,Kalyan,Kurla,28.18,82,563.62,D1450,4.6,No,Afternoon,Thu,SUV
RIDE100152,Dadar,Worli,10.07,26,207.57,D1440,3.4,No,Evening,Wed,Auto
RIDE100153,Thane,Sion,23.47,65,588.29,D1436,1.7,No,Night,Mon,Sedan
RIDE100154,Panvel,Wadala,10.33,35,348.1,D1076,3.7,No,Afternoon,Mon,Mini
RIDE100155,Panvel,Matunga,2.18,5,64.23,D1375,2.4,No,Morning,Fri,Mini
RIDE100156,Borivali,Sion,13.65,44,332.35,D1542,2.5,No,Evening,Tue,Auto
RIDE100157,Andheri,Chembur,17.97,51,432.03,D1268,4.1,No,Afternoon,Fri,Sedan
RIDE100158,Borivali,Ghatkopar,5.17,17,110.13,D1920,3.9,No,Evening,Sat,Sedan
RIDE100159,Thane,Worli,19.43,65,607.85,D1728,3.8,No,Afternoon,Sun,Sedan
RIDE100160,Vashi,Ghatkopar,5.13,13,69.11,D1809,3.0,No,Evening,Thu,Mini
RIDE100161,Panvel,Kurla,3.24,9,90.47,D1490,3.1,No,Morning,Tue,Sedan
RIDE100162,Thane,Matunga,16.84,50,222.43,D1848,4.1,No,Afternoon,Sun,Mini
RIDE100163,Mulund,Worli,31.96,81,418.8,D1156,2.2,No,Afternoon,Wed,Sedan
RIDE100164,Thane,Vikhroli,7.67,26,129.33,D1640,2.2,No,Afternoon,Fri,Mini
RIDE100165,Bandra,Juhu,25.5,79,792.11,D1577,1.2,No,Morning,Mon,Sedan
RIDE100166,Colaba,Juhu,15.16,47,340.36,D1642,3.2,No,Evening,Thu,Mini
RIDE100167,Mulund,Vikhroli,16.42,52,229.09,D1425,2.9,No,Afternoon,Wed,Sedan
RIDE100168,Dadar,Wadala,5.45,15,131.02,D1326,2.0,No,Night,Tue,Mini
RIDE100169,Thane,Powai,10.87,31,275.93,D1254,4.9,No,Evening,Fri,Sedan
RIDE100170,Colaba,Chembur,17.94,54,403.09,D1315,3.0,Yes,Night,Fri,SUV
RIDE100171,Colaba,Ghatkopar,20.83,53,354.82,D1611,4.5,No,Night,Wed,Auto
RIDE100172,Thane,Wadala,5.55,15,106.25,D1412,2.5,No,Afternoon,Wed,Sedan
RIDE100173,Thane,Wadala,18.14,59,308.25,D1638,3.7,No,Morning,Thu,Sedan
RIDE100174,Dadar,Worli,32.92,107,493.02,D1521,2.6,Yes,Morning,Tue,Sedan
RIDE100175,Borivali,Worli,16.54,51,378.56,D1335,4.7,No,Night,Fri,Sedan
RIDE100176,Panvel,Sion,18.25,54,405.99,D1576,2.2,No,Evening,Wed,Auto
RIDE100177,Mulund,Juhu,11.46,38,364.46,D1644,1.1,No,Afternoon,Sat,Auto
RIDE100178,Panvel,Matunga,6.8,21,173.36,D1861,2.5,No,Afternoon,Mon,Auto
RIDE100179,Colaba,Powai,16.0,46,325.18,D1208,2.6,No,Night,Sun,Auto
RIDE100180,Bandra,Worli,8.05,22,213.77,D1538,2.5,No,Night,Fri,Sedan
RIDE100181,Vashi,Sion,23.98,80,647.91,D1822,3.8,No,Afternoon,Tue,Sedan
RIDE100182,Vashi,Vikhroli,8.65,30,150.86,D1295,3.8,No,Night,Wed,SUV
RIDE100183,Dadar,Worli,32.75,107,551.39,D1124,3.3,No,Night,Sun,Sedan
RIDE100184,Bandra,Vikhroli,2.43,8,29.1,D1946,2.8,No,Night,Tue,Mini
RIDE100185,Vashi,Vikhroli,32.72,104,439.49,D1630,4.0,No,Morning,Sat,Mini
RIDE100186,Colaba,Powai,4.41,12,96.18,D1697,4.1,Yes,Afternoon,Thu,SUV
RIDE100187,Borivali,Ghatkopar,26.7,74,457.51,D1060,4.6,Yes,Afternoon,Fri,Auto
RIDE100188,Bandra,Wadala,31.0,82,1022.72,D1856,2.6,No,Evening,Mon,Auto
RIDE100189,Kalyan,Juhu,21.49,73,394.9,D1465,5.0,No,Night,Tue,SUV
RIDE100190,Kalyan,Ghatkopar,28.5,80,805.92,D1663,2.0,No,Evening,Sun,Sedan
RIDE100191,Panvel,Ghatkopar,6.97,23,226.01,D1846,2.7,No,Night,Sat,Auto
RIDE100192,Bandra,Chembur,17.23,59,175.24,D1392,1.9,No,Evening,Wed,Auto
RIDE100193,Kalyan,Sion,24.55,62,318.06,D1314,1.6,No,Evening,Sat,Auto
RIDE100194,Kalyan,Sion,21.9,59,292.13,D1156,2.8,No,Evening,Thu,SUV
RIDE100195,Vashi,Ghatkopar,26.9,85,669.69,D1806,1.3,No,Evening,Mon,Auto
RIDE100196,Andheri,Worli,31.7,85,742.3,D1168,2.3,No,Morning,Sat,Mini
RIDE100197,Panvel,Matunga,4.09,12,123.59,D1464,1.5,No,Morning,Fri,SUV
RIDE100198,Kalyan,Powai,14.46,47,414.21,D1592,1.3,No,Morning,Fri,Auto
RIDE100199,Thane,Matunga,2.08,6,60.79,D1784,3.6,No,Night,Wed,SUV
RIDE100200,Borivali,Wadala,13.77,43,365.52,D1552,1.5,No,Morning,Tue,SUV
RIDE100201,Vashi,Chembur,25.75,70,259.74,D1023,4.9,No,Night,Fri,SUV
RIDE100202,Colaba,Ghatkopar,16.66,44,245.1,D1896,3.9,No,Night,Fri,Auto
RIDE100203,Colaba,Ghatkopar,3.29,10,69.62,D1688,3.8,Yes,Morning,Thu,SUV
RIDE100204,Colaba,Worli,8.39,28,95.74,D1515,5.0,No,Evening,Fri,Sedan
RIDE100205,Colaba,Vikhroli,30.79,107,709.13,D1423,2.2,Yes,Afternoon,Sat,SUV
RIDE100206,Vashi,Matunga,2.59,7,67.55,D1390,4.1,No,Night,Thu,Mini
RIDE100207,Kalyan,Wadala,7.25,22,116.18,D1230,2.2,No,Night,Mon,SUV
RIDE100208,Mulund,Worli,19.02,54,311.45,D1338,3.6,No,Evening,Mon,Mini
RIDE100209,Andheri,Vikhroli,13.82,42,151.86,D1074,1.8,No,Afternoon,Thu,Mini
RIDE100210,Dadar,Vikhroli,33.54,84,1121.21,D1985,4.0,No,Night,Tue,Mini
RIDE100211,Mulund,Ghatkopar,19.77,64,385.84,D1546,3.6,No,Evening,Fri,SUV
RIDE100212,Borivali,Kurla,28.3,91,821.85,D1327,4.7,No,Night,Mon,Mini
RIDE100213,Bandra,Powai,9.87,33,241.6,D1427,2.2,No,Afternoon,Thu,Mini
RIDE100214,Borivali,Worli,23.26,74,382.24,D1841,3.0,No,Night,Thu,Mini
RIDE100215,Dadar,Chembur,5.76,17,84.1,D1910,3.2,No,Morning,Fri,Auto
RIDE100216,Thane,Powai,26.99,78,838.41,D1236,1.3,No,Afternoon,Fri,SUV
RIDE100217,Dadar,Powai,22.01,69,559.34,D1494,3.6,Yes,Night,Mon,Auto
RIDE100218,Vashi,Vikhroli,19.22,53,433.51,D1714,3.7,No,Afternoon,Mon,Auto
RIDE100219,Vashi,Chembur,9.19,28,149.89,D1362,2.1,No,Evening,Thu,SUV
RIDE100220,Panvel,Ghatkopar,34.67,94,939.59,D1868,1.3,No,Morning,Mon,SUV
RIDE100221,Mulund,Wadala,19.79,50,202.58,D1175,1.3,No,Evening,Fri,Auto
RIDE100222,Vashi,Powai,8.81,29,240.58,D1580,2.9,Yes,Morning,Sat,Sedan
RIDE100223,Vashi,Juhu,23.38,62,730.87,D1016,4.8,No,Night,Mon,Sedan
RIDE100224,Bandra,Juhu,9.18,30,181.11,D1918,3.2,No,Afternoon,Sun,Auto
RIDE100225,Vashi,Sion,2.83,8,87.64,D1348,3.4,No,Night,Sun,Sedan
RIDE100226,Andheri,Vikhroli,27.64,81,434.04,D1566,4.8,No,Night,Mon,Sedan
RIDE100227,Colaba,Kurla,3.79,10,105.33,D1649,1.6,No,Evening,Mon,Auto
RIDE100228,Andheri,Vikhroli,16.12,52,202.4,D1089,1.7,No,Night,Mon,Auto
RIDE100229,Thane,Sion,19.84,61,587.48,D1884,2.5,No,Night,Sun,Auto
RIDE100230,Vashi,Ghatkopar,20.45,54,399.15,D1142,2.1,No,Afternoon,Mon,Mini
RIDE100231,Mulund,Vikhroli,15.32,45,182.66,D1257,4.8,No,Night,Fri,Mini
RIDE100232,Borivali,Kurla,5.61,14,111.6,D1861,3.5,No,Evening,Thu,Sedan
RIDE100233,Mulund,Juhu,5.63,15,189.63,D1205,2.9,No,Night,Wed,Sedan
RIDE100234,Borivali,Juhu,27.59,77,469.24,D1804,2.6,No,Afternoon,Fri,Mini
RIDE100235,Vashi,Powai,33.4,98,925.49,D1448,4.2,No,Morning,Sun,SUV
RIDE100236,Borivali,Chembur,22.53,61,596.29,D1732,2.7,No,Night,Fri,SUV
RIDE100237,Panvel,Wadala,19.17,65,608.47,D1428,3.2,No,Evening,Sat,Auto
RIDE100238,Thane,Ghatkopar,23.36,66,611.45,D1045,3.3,No,Night,Sun,Sedan
RIDE100239,Mulund,Kurla,1.36,3,30.96,D1531,3.2,No,Afternoon,Thu,Sedan
RIDE100240,Mulund,Matunga,27.26,84,613.67,D1353,5.0,No,Evening,Thu,Auto
RIDE100241,Thane,Chembur,12.84,36,380.15,D1533,2.9,No,Night,Sat,SUV
RIDE100242,Dadar,Kurla,11.21,37,144.35,D1869,2.4,No,Afternoon,Sat,Mini
RIDE100243,Vashi,Chembur,19.76,55,408.23,D1473,1.9,No,Afternoon,Tue,SUV
RIDE100244,Mulund,Powai,26.07,88,553.71,D1439,2.6,No,Afternoon,Wed,Auto
RIDE100245,Panvel,Kurla,28.18,85,539.5,D1201,2.8,No,Night,Fri,Sedan
RIDE100246,Panvel,Wadala,21.78,67,407.24,D1865,2.8,No,Evening,Fri,Auto
RIDE100247,Bandra,Sion,5.01,14,73.03,D1710,1.6,No,Afternoon,Fri,SUV
RIDE100248,Mulund,Chembur,17.55,53,578.78,D1953,5.0,No,Night,Wed,Mini
RIDE100249,Bandra,Sion,29.63,92,937.44,D1974,1.0,No,Night,Fri,SUV
RIDE100250,Mulund,Matunga,15.13,50,336.15,D1084,3.3,No,Afternoon,Wed,Auto
RIDE100251,Kalyan,Ghatkopar,19.28,51,413.23,D1760,4.1,No,Morning,Fri,Auto
RIDE100252,Kalyan,Worli,28.99,83,886.09,D1042,4.0,No,Afternoon,Thu,Auto
RIDE100253,Colaba,Vikhroli,30.74,77,509.37,D1882,4.3,No,Morning,Sun,Mini
RIDE100254,Colaba,Juhu,24.43,82,617.02,D1438,1.7,No,Afternoon,Sun,Mini
RIDE100255,Andheri,Juhu,12.93,35,303.46,D1331,4.9,No,Evening,Sun,Auto
RIDE100256,Bandra,Wadala,32.24,112,1021.24,D1129,3.8,No,Afternoon,Sat,Sedan
RIDE100257,Colaba,Wadala,17.64,54,294.9,D1424,2.5,Yes,Morning,Thu,Sedan
RIDE100258,Dadar,Matunga,33.31,94,335.16,D1792,4.4,Yes,Night,Sat,Sedan
RIDE100259,Thane,Worli,14.52,50,444.62,D1506,2.1,No,Evening,Fri,Mini
RIDE100260,Panvel,Matunga,27.8,94,807.77,D1047,1.4,No,Night,Mon,Auto
RIDE100261,Bandra,Matunga,16.52,57,341.88,D1705,4.6,No,Evening,Tue,Sedan
RIDE100262,Thane,Sion,9.51,27,309.98,D1169,1.2,No,Afternoon,Thu,Auto
RIDE100263,Thane,Powai,8.26,21,205.19,D1531,3.7,Yes,Evening,Sun,Auto
RIDE100264,Mulund,Chembur,17.24,47,210.9,D1825,1.4,No,Evening,Tue,SUV
RIDE100265,Bandra,Chembur,3.33,10,84.11,D1168,2.8,No,Afternoon,Thu,SUV
RIDE100266,Colaba,Kurla,31.48,83,411.72,D1747,2.5,No,Evening,Sun,Mini
RIDE100267,Colaba,Vikhroli,22.92,62,573.57,D1738,3.4,No,Morning,Sun,Sedan
RIDE100268,Colaba,Worli,21.64,58,428.34,D1661,1.2,No,Afternoon,Thu,SUV
RIDE100269,Thane,Ghatkopar,17.99,55,417.5,D1012,4.9,No,Afternoon,Thu,SUV
RIDE100270,Dadar,Worli,24.22,79,820.12,D1788,1.3,No,Morning,Wed,Mini
RIDE100271,Andheri,Powai,33.26,96,570.81,D1729,3.0,No,Night,Mon,Mini
RIDE100272,Kalyan,Kurla,11.54,34,174.02,D1827,1.6,No,Morning,Wed,SUV
RIDE100273,Colaba,Powai,9.31,31,120.1,D1626,3.4,No,Afternoon,Mon,Auto
RIDE100274,Bandra,Powai,6.57,22,151.6,D1801,4.3,No,Evening,Tue,Sedan
RIDE100275,Thane,Powai,12.39,36,286.16,D1269,3.8,No,Morning,Thu,SUV
